id,product,amount,credit rating,cancellation,age
66756495,K1,96900,4,정상,26
66234148,K1,96900,2,정상,39
66423006,K1,66900,5,해약,
66423516,K1,66900,1,정상,41
66758664,K1,105900,3,정상,31
66659106,K1,96900,1,정상,46
66758485,K1,96900,2,정상,42
25761693,K1,96900,,정상,
25761693,K1,96900,,정상,
66758428,K1,87900,4,정상,40
66645685,K3,90900,5,정상,45
25740441,K1,124200,,정상,
66757435,K1,105900,6,정상,54
66757903,K1,96900,2,정상,40
66757672,K1,96900,4,정상,55
66423095,K1,66900,2,해약,51
66758922,K1,96900,7,정상,44
66758435,K1,96900,1,정상,64
66758460,K1,96900,2,정상,36
66758169,K1,105900,3,정상,47
66758430,K1,105900,3,정상,31
66757629,K1,81900,1,정상,34
66757629,K2,81900,1,정상,31
66757874,K1,105900,4,정상,41
66757929,K1,96900,2,정상,40
66758963,K1,111900,4,정상,50
66754145,K2,87900,2,정상,
66758403,K1,96900,7,정상,56
66758903,K1,105900,4,정상,44
66758640,K1,105900,5,정상,52
66537584,K1,96900,5,정상,24
66758283,K1,96900,3,정상,48
66758273,K1,105900,6,정상,42
66758808,K1,96900,1,정상,43
66758802,K1,96900,4,정상,38
66758595,K2,96900,6,정상,57
66372169,K1,96900,,정상,
25777820,K1,96900,,정상,
66758439,K1,96900,2,정상,54
66423337,K1,66900,,해약,
66758993,K1,98400,1,정상,69
66758993,K2,89400,1,정상,56
25742698,K1,96900,,정상,
66422438,K1,96900,7,정상,41
25743904,K1,142200,,정상,
66423611,K1,87900,3,정상,46
25699976,K1,96900,,정상,
66205929,K1,96900,3,정상,35
66758687,K1,81900,7,정상,22
66758687,K2,81900,7,정상,
66758021,K1,111900,3,정상,39
66758868,K1,105900,7,정상,40
66758576,K1,96900,5,정상,43
66714266,K3,90900,1,정상,46
66758907,K1,96900,3,정상,34
66758123,K1,96900,4,정상,71
66758882,K1,96900,2,정상,23
66419935,K1,66900,3,정상,40
66758149,K6,185700,7,정상,43
66758288,K1,105900,1,정상,27
66758683,K1,96900,4,정상,48
66423671,K1,66900,6,해약,49
66423246,K1,66900,4,정상,52
66758556,K1,105900,1,정상,
66758625,K2,102900,1,정상,40
66758413,K1,105900,1,정상,44
66135140,K1,96900,4,정상,34
66758986,K1,96900,4,정상,48
66757389,K1,81900,2,정상,38
66757389,K2,81900,2,정상,43
66758651,K1,96900,3,정상,59
25742836,K1,118200,,정상,
66758475,K1,96900,2,정상,31
66758691,K1,96900,7,정상,34
66758046,K2,102900,5,정상,42
66758135,K1,96900,6,정상,23
66423646,K1,66900,4,정상,40
66758039,K1,111900,5,정상,54
66758609,K1,96900,6,정상,44
66758420,K1,96900,2,정상,40
66758857,K1,96900,4,정상,
66758518,K1,96900,1,정상,47
66758955,K4,126900,1,정상,24
66423134,K1,66900,6,정상,51
66758745,K1,87900,5,정상,22
66549437,K1,96900,3,정상,
66758318,K1,89400,9,정상,37
